mmm Year,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Dec 2020,"12,122,839","52,000",(Blank),(Blank),"6,163,759","18,338,598"
Jan 2021,"51,933,875","5,696,475","10,000,000",(Blank),"29,843,051","97,473,401"
Feb 2021,"113,107,104","5,355,280","1,221,000",(Blank),"41,850,016","161,533,400"
Mar 2021,"441,683,667","11,747,080","22,613,680",(Blank),"93,159,511","569,203,938"
Apr 2021,"386,711,917","5,239,750","14,709,730",(Blank),"189,073,689","595,735,086"
May 2021,"436,898,712","5,150,320","29,974,950",(Blank),"464,999,349","937,023,331"
Jun 2021,"528,972,090","20,496,260","14,961,010",(Blank),"703,669,406","1,268,098,766"
Jul 2021,"625,053,096","47,776,340","77,438,810",(Blank),"536,346,838","1,286,615,084"
Aug 2021,"726,974,937","30,236,655","60,221,430","2,073,600","562,214,302","1,381,720,924"
Sep 2021,"748,545,733","26,973,380","90,189,600","2,990,400","254,238,912","1,122,938,025"
Oct 2021,"702,260,446","39,700,780","124,980,780","6,662,400","171,971,791","1,045,576,197"
Nov 2021,"376,118,871","40,948,860","155,033,430","13,672,800","555,353,421","1,141,127,382"
Dec 2021,"427,888,267","55,692,400","356,442,427","7,912,800","691,003,956","1,538,939,850"
Jan 2022,"283,979,764","40,004,830","230,142,269","5,032,800","472,692,524","1,031,852,187"
Feb 2022,"238,356,159","15,893,100","137,769,124","5,999,100","324,854,329","722,871,812"
Mar 2022,"186,004,880","15,377,740","122,248,430","1,967,000","285,927,638","611,525,688"
Apr 2022,"120,967,985","17,107,020","33,349,500",(Blank),"178,777,421","350,201,926"
May 2022,"81,474,814","27,120,600","38,884,450","9,612,000","112,431,824","269,523,688"
Jun 2022,"60,151,544","17,910,800","35,522,210","6,285,800","135,078,722","254,949,076"
Jul 2022,"40,877,123","9,525,600","35,694,500","12,405,600","152,535,277","251,038,100"
Aug 2022,"35,973,312","1,239,290","95,576,040","7,531,200","97,981,104","238,300,946"
Sep 2022,"90,913,163",(Blank),"86,099,420","5,952,000","130,650,810","313,615,393"
Oct 2022,"21,702,794",(Blank),"21,620,250","12,451,200","2,281","55,776,525"